Count,Word,Year,Length
230,company,1999,7
193,million,1999,7
149,revenue,1999,7
139,percent,1999,7
139,business,1999,8
138,companys,1999,8
137,services,1999,8
129,financial,1999,9
126,net,1999,3
117,assets,1999,6
113,income,1999,6
111,stock,1999,5
104,software,1999,8
100,december,1999,8
96,value,1999,5
95,technology,1999,10
94,global,1999,6
84,year,1999,4
78,shares,1999,6
77,new,1999,3
77,common,1999,6
76,systems,1999,7
75,machines,1999,8
73,total,1999,5
72,interest,1999,8
70,earnings,1999,8
69,dollars,1999,7
69,cash,1999,4
68,share,1999,5
67,currency,1999,8
67,corporation,1999,11
66,plan,1999,4
66,ebusiness,1999,9
66,customers,1999,9
66,billion,1999,7
65,management,1999,10
65,companies,1999,9
64,financing,1999,9
61,years,1999,5
61,information,1999,11
60,tax,1999,3
59,millions,1999,8
59,increase,1999,8
56,rate,1999,4
56,international,1999,13
54,statements,1999,10
53,products,1999,8
53,consolidated,1999,12
52,subsidiary,1999,10
52,segment,1999,7
51,debt,1999,4
50,stockholders,1999,12
50,fair,1999,4
50,cost,1999,4
49,market,1999,6
48,service,1999,7
47,plans,1999,5
47,losses,1999,6
47,liabilities,1999,11
47,gains,1999,5
47,employees,1999,9
46,instruments,1999,11
46,gross,1999,5
46,computer,1999,8
45,quarter,1999,7
44,benefits,1999,8
43,benefit,1999,7
42,development,1999,11
41,profit,1999,6
41,notes,1999,5
41,investments,1999,11
41,internet,1999,8
41,foreign,1999,7
40,growth,1999,6
40,expense,1999,7
39,including,1999,9
39,ibms,1999,4
39,amounts,1999,7
39,accounting,1999,10
37,equity,1999,6
37,effective,1999,9
37,contracts,1999,9
36,world,1999,5
36,taxes,1999,5
36,increased,1999,9
36,general,1999,7
35,web,1999,3
35,securities,1999,10
35,research,1999,8
35,president,1999,9
35,period,1999,6
34,respectively,1999,12
34,primarily,1999,9
34,operations,1999,10
34,effect,1999,6
34,current,1999,7
34,changes,1999,7
33,time,1999,4
33,storage,1999,7
33,results,1999,7
33,note,1999,4
33,hardware,1999,8
33,enterprise,1999,10
32,servers,1999,7
32,segments,1999,8
32,personal,1999,8
32,following,1999,9
32,equipment,1999,9
32,deferred,1999,8
31,versus,1999,6
31,retained,1999,8
31,rates,1999,5
31,pages,1999,5
31,industry,1999,8
31,first,1999,5
31,decrease,1999,8
31,costs,1999,5
31,actions,1999,7
30,risk,1999,4
30,group,1999,5
29,number,1999,6
28,options,1999,7
28,marketable,1999,10
28,computing,1999,9
28,capital,1999,7
27,server,1999,6
27,sales,1999,5
27,recognized,1999,10
27,longterm,1999,8
27,internal,1999,8
27,change,1999,6
26,vice,1999,4
26,subsidiaries,1999,12
26,significant,1999,11
26,see,1999,3
26,exchange,1999,8
25,statement,1999,9
25,sale,1999,4
25,operating,1999,9
25,employee,1999,8
25,customer,1999,8
25,based,1999,5
25,associated,1999,10
24,strategic,1999,9
24,property,1999,8
24,price,1999,5
24,manager,1999,7
24,include,1999,7
24,future,1999,6
24,expenses,1999,8
24,affecting,1999,9
23,retirement,1999,10
23,reflect,1999,7
23,pretax,1999,6
23,outstanding,1999,11
23,network,1999,7
23,included,1999,8
23,executive,1999,9
23,data,1999,4
23,average,1999,7
22,rental,1999,6
22,plant,1999,5
22,performance,1999,11
22,lower,1999,5
22,investment,1999,10
22,inc,1999,3
21,result,1999,6
21,position,1999,8
21,material,1999,8
21,margin,1999,6
21,less,1999,4
21,discussion,1999,10
21,compared,1999,8
20,united,1999,6
20,standards,1999,9
20,senior,1999,6
20,purchase,1999,8
20,product,1999,7
20,generally,1999,9
20,credit,1999,6
20,certain,1999,7
20,approximately,1999,13
20,access,1999,6
19,within,1999,6
19,transactions,1999,12
19,provides,1999,8
19,board,1999,5
18,trust,1999,5
18,states,1999,6
18,report,1999,6
18,programs,1999,8
18,people,1999,6
18,part,1999,4
18,manufacturing,1999,13
18,major,1999,5
18,last,1999,4
18,january,1999,7
18,diluted,1999,7
18,constant,1999,8
18,acquisitions,1999,12
18,accounts,1999,8
17,y2k,1999,3
17,using,1999,5
17,solutions,1999,9
17,related,1999,7
17,recorded,1999,8
17,offset,1999,6
17,obligation,1999,10
17,half,1999,4
17,devices,1999,7
17,defined,1999,7
17,declined,1999,8
17,compensation,1999,12
17,businesses,1999,10
17,applications,1999,12
17,annual,1999,6
17,activities,1999,10
16,uses,1999,4
16,terms,1999,5
16,technologies,1999,12
16,second,1999,6
16,postretirement,1999,14
16,partners,1999,8
16,lines,1999,5
16,leases,1999,6
16,even,1999,4
16,dividends,1999,9
16,basis,1999,5
15,were,1999,4
15,sfas,1999,4
15,rs6000,1999,6
15,reported,1999,8
15,provided,1999,8
15,preferred,1999,9
15,pension,1999,7
15,overall,1999,7
15,online,1999,6
15,offerings,1999,9
15,important,1999,9
15,help,1999,4
15,five,1999,4
15,equivalents,1999,11
15,center,1999,6
15,call,1999,4
15,available,1999,9
15,acquired,1999,8
14,would,1999,5
14,values,1999,6
14,treasury,1999,8
14,term,1999,4
14,system,1999,6
14,support,1999,7
14,strategy,1999,8
14,space,1999,5
14,site,1999,4
14,resulted,1999,8
14,prices,1999,6
14,option,1999,6
14,oem,1999,3
14,memory,1999,6
14,make,1999,4
14,life,1999,4
14,estimated,1999,9
14,end,1999,3
14,disk,1999,4
14,design,1999,6
14,derivative,1999,10
14,chief,1999,5
